,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HO_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2004-03-02,156055,37281,24221,81771,104766,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.934499979019165,0.1473518951651661,-22995,-12.774562001955253,13060,10.897377286697942,0.09736942268826024,0.3024617085623232,0.050354033637332485,-0.04505077971423954,0.12801422632475054
2004-03-09,156305,31666,22465,85060,104722,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8924000263214111,0.12579252103259653,-19662,2.1357854602543975,9201,-2.4728461119477108,0.017562255640682468,0.13616966248545195,-0.04505077971423954,0.025100808256057983,0.12772299954727237
2004-03-16,162877,31483,23270,93587,111378,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.914799988269806,0.10922966410235944,-17791,1.1970186494353987,8213,-0.6320975016794088,0.07407606176664308,0.018044673351231895,0.025100808256057983,0.02011370100868537,0.12715447779261865
2004-03-23,170075,36190,24216,92092,113815,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.9332000017166138,0.1277260032338674,-21723,-2.4140916151451712,11974,2.3091044162159178,0.019095999650327575,0.09358341886567559,0.02011370100868537,-0.02796825956864679,0.1269573780688393
2004-03-30,161100,31118,22474,89832,106785,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.9071000218391418,0.10523277467411546,-16953,2.804645009554608,8644,-1.9579597236513302,0.04724922056587172,0.12714584266308404,-0.02796825956864679,-0.03439538149764376,0.12740481902829542
2004-04-06,151909,23868,24558,89326,95180,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8758999705314636,0.03853622892652838,-5854,6.889509621353198,-690,-5.793916821849783,0.06564014178400703,0.1927476975178623,-0.03439538149764376,0.06302094097220978,0.12734985343327837
2004-04-20,187204,35825,24780,107339,127428,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.9311000108718872,0.10731074122347813,-20089,-9.370741694040511,11045,7.725019584093109,0.21408886257438225,0.2009570167477931,0.06302094097220978,0.011813959252726436,0.12857404726625987
2004-04-27,182552,39275,24112,103373,126090,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.9420999884605408,0.12444125509443885,-22717,-1.4038161577744064,15163,2.1997393218093633,0.02311483768625007,0.06496600249262467,0.011813959252726436,0.04882709306669719,0.13000050143078695
2004-05-04,178979,41990,24537,96207,122961,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.988099992275238,0.14948122405421865,-26754,-2.2114246899513565,17453,1.2544370918971033,0.04697309826252007,0.04719888165707156,0.04882709306669719,0.028033607102899705,0.13180900973319323
2004-05-11,182175,42896,24802,93565,122188,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0157999992370603,0.15711815561959655,-28623,-1.04425658876181,18094,0.35814257538593913,0.01582828512233897,0.017297409081509056,0.028033607102899705,-0.002264248901673649,0.13427290486360693
2004-05-18,176502,40744,26836,90385,115922,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0134999752044678,0.1446839129301651,-25537,1.6939755729381092,13908,-2.297790585975024,0.045786134256229793,0.06194140278188813,-0.002264248901673649,0.013616206535656872,0.13665985407638495
2004-05-25,175109,40943,23102,88043,116333,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0273000001907349,0.16155651622703573,-28290,-1.5597556968192994,17841,2.2283033620015638,0.013470270481856969,0.0614099461316262,0.013616206535656872,0.03582208399375375,0.13847048280995713
2004-06-01,165610,40225,23134,82576,112936,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0641000270843506,0.18332226314836061,-30360,-1.1821208504417249,17091,-0.4283046559571467,0.04533737059617824,0.011837308038321313,0.03582208399375375,-0.09679545362376751,0.14042452329367788
2004-06-08,151124,30697,20383,78673,101175,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.9610999822616576,0.1488975940287446,-22502,4.744882555401244,10314,-4.092144194191172,0.08709576976113162,0.2403876272513704,-0.09679545362376751,0.017063822181561106,0.14118685749146948
2004-06-15,163219,27924,16307,90633,114300,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.977500021457672,0.1450015010507355,-23667,-0.7708901299595035,11617,0.8622058706757365,0.12240585947602386,0.15484614862878976,0.017063822181561106,0.040409143346210374,0.1406806272441153
2004-06-22,174596,30481,15610,98470,126109,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0169999599456787,0.15830259570665994,-27639,-2.4335402128428676,14871,1.9936404462715738,0.08747923893151185,0.07059946627324207,0.040409143346210374,-0.05270398796701159,0.13928895518034223
2004-06-29,179218,23716,15962,109461,128189,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.9634000062942504,0.1044984320771351,-18728,5.103782446333249,7754,-4.076267497537171,0.055001051967178624,0.17936891980442562,-0.05270398796701159,0.1346273039261483,0.1378615692438299
2004-07-06,187760,34791,18071,104597,135452,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0930999517440796,0.16433212611844908,-30855,-6.766619424388175,16720,5.002845696302827,0.05051885240096814,0.24940410881162273,0.1346273039261483,-0.028725612178607363,0.13748695251183335
2004-07-13,188597,31399,17899,107386,135573,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0616999864578247,0.14945624797849383,-28187,1.4209629314017895,13500,-1.7149552620366426,0.011977329508270943,0.07229502211043044,-0.028725612178607363,0.014505088317837478,0.13572932215913006
2004-07-20,193044,31347,18481,112903,137780,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0771000385284424,0.12886699405316923,-24877,1.7550650328478183,12866,-0.3361665349926033,0.03081182210201729,0.012723769768001927,0.014505088317837478,0.04205738115871305,0.13336983600504618
2004-07-27,202689,33404,18451,117715,146231,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.1224000453948977,0.14068844387213908,-28516,-1.8850624728041276,14953,1.0811006817098692,0.05024891455070355,0.04024684215601196,0.04205738115871305,0.052654944986784136,0.1304648304761231
2004-08-03,206642,36159,25279,117232,141978,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.18149995803833,0.11975300277775089,-24746,1.859992402153052,10880,-2.009482507684186,0.018270900042436634,0.15597838471304404,0.052654944986784136,-0.009902594454321068,0.12862719916023618
2004-08-10,208028,36646,26080,116900,141335,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.169800043106079,0.1174601495952468,-24435,0.15050183408987525,10566,-0.1519536202708065,0.0037756307239529886,0.020533749960144117,-0.009902594454321068,0.044537477552722526,0.12686044823430176
2004-08-17,208698,37617,25469,111950,138764,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.2218999862670898,0.12848230457407353,-26814,-1.1435960543772954,12148,0.7604745515026824,0.02999832478441571,0.02507687918080081,0.044537477552722526,-0.02332429922224699,0.12299334975145514
